Date,Close,High,Low,Open,Volume,Daily_Return,MA_30,Volatility
23-06-2025,1444.326904,1451.26697,1429.653574,1440.559392,5989078,-0.00641109,1420.390234,0.009682551
24-06-2025,1438.378174,1462.370923,1430.744029,1452.456544,16402744,-0.004118687,1421.55022,0.009306831
25-06-2025,1454.737061,1459.79337,1447.995234,1451.465267,7525851,0.011373147,1422.967977,0.009456965
26-06-2025,1482.497192,1485.967225,1452.555694,1456.521446,14657893,0.019082577,1424.326245,0.009328729
27-06-2025,1502.425049,1508.968515,1484.083447,1486.562042,11117052,0.013442087,1426.27607,0.009602824
30-06-2025,1487.751831,1511.744703,1483.19124,1500.838885,8409527,-0.009766356,1428.252336,0.0095633
01-07-2025,1515.313843,1518.288157,1487.256099,1487.751818,10368523,0.018525947,1431.682715,0.009748749
02-07-2025,1505.796143,1516.9002,1495.782522,1515.313924,6361002,-0.006281009,1434.643819,0.00987443
03-07-2025,1504.804565,1518.783816,1500.045615,1507.778879,11283291,-0.000658507,1438.226213,0.009424013
04-07-2025,1514.223389,1516.900223,1504.209768,1510.951595,6603501,0.006259167,1441.54753,0.009269336
07-07-2025,1528.301636,1531.573429,1511.942909,1513.529186,7251074,0.009297338,1445.073743,0.009338789
08-07-2025,1524.435059,1531.672604,1517.098393,1522.848782,7171261,-0.002529983,1448.89078,0.009144626
09-07-2025,1505.994263,1537.720277,1497.170441,1523.542666,8870660,-0.012096806,1452.39716,0.009392431
10-07-2025,1504.209717,1511.645502,1494.592816,1506.688312,10047129,-0.001184962,1455.682121,0.009413586
11-07-2025,1482.398071,1502.028592,1477.540122,1499.054278,7234991,-0.014500402,1458.137581,0.00990113
14-07-2025,1470.99646,1487.156947,1466.43587,1479.423683,10311846,-0.007691329,1460.450936,0.009974728
15-07-2025,1472.682007,1483.686944,1469.707693,1473.475085,8132454,0.001145854,1463.091467,0.009875707
16-07-2025,1472.880249,1478.234038,1458.900998,1460.388155,10409983,0.000134613,1465.143746,0.009661428
17-07-2025,1463.759033,1476.845966,1461.280438,1474.664851,11854613,-0.006192775,1466.267375,0.009493365
18-07-2025,1463.362427,1472.087129,1456.521481,1472.087129,10296318,-0.000270951,1467.341435,0.009495457
21-07-2025,1416.368286,1463.362471,1410.915377,1452.456653,22442744,-0.032113808,1466.673865,0.011212857
22-07-2025,1400.703613,1419.640054,1398.621497,1415.178583,20396320,-0.011059746,1465.824536,0.011316992
23-07-2025,1412.402466,1413.790503,1402.289847,1413.790503,8354596,0.008352126,1465.021468,0.011345378
24-07-2025,1390.888306,1410.816184,1384.04736,1407.048671,14740507,-0.015232316,1463.742513,0.011634912
25-07-2025,1379.78418,1389.004601,1372.249275,1386.922606,11854722,-0.007983478,1462.546175,0.011599149
28-07-2025,1375.71936,1395.746481,1373.141646,1380.379192,7748361,-0.002945982,1460.88717,0.01151222
29-07-2025,1404.966797,1408.040231,1371.158785,1371.158785,10750072,0.02125974,1460.4212,0.012190906
30-07-2025,1398.026733,1411.113788,1389.302151,1405.958238,7209849,-0.004939664,1459.760242,0.012220678
31-07-2025,1378.296997,1390.590852,1370.365493,1376.215002,17065827,-0.01411256,1458.335872,0.01246134
